Name,Rohdaten,Saisonbereinigt,Zufall
Minimum,0.161,-2.00565,-1.44162
Maximum,7.342,5.91822,3.83451
1. zentrales Moment,1.187,-1.2083333333282967e-06,1.4583333333891463e-07
2. zentrales Moment,0.9664822333333334,0.7298872417860399,0.5811259225860202
3. zentrales Moment,2.053832978049999,1.1738942945236508,0.7723266210161133
4. zentrales Moment,9.08822294231903,5.330967684271235,2.3924568061372926
Standardabweichung (biased),0.9830982826418391,0.8543343852298348,0.7623161565820445
Standardabweichung (unbiased),0.9841239462308013,0.8552257098178242,0.7631114788187824
Skewness (biased),2.1615949180677685,1.2354869984609322,0.8128495924054833
Skewness (unbiased),2.1706392482688885,1.2406564001281328,0.8162506367251715
Kurtosis (biased),4667.16752705193,2736.425773867947,1226.4124117344459
Kurtosis (unbiased),4696.520781939049,2753.6359988608274,1234.1256973428385
25%-Quantil,0.506,-0.4982,-0.48002
50%-Quantil,0.887,-0.20088,-0.19994
75%-Quantil,1.545,0.28313,0.23576
Interquartilsabstand,1.039,0.78133,0.71578
Autokorrelation,0.34505561575636307,0.28533080345941797,0.2555163475123004
HHQ,7.342,-,-
MHQ,3.2618750000000007,-,-
MQ,1.1879626893939395,-,-
MNQ,0.3448,-,-
NNQ,0.161,-,-
